Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,29,0.61,0.61,0.48291873785332634
100% Corpus,29,0.61,0.9099999999999999,0.5037109762032272
100% Corpus,29,0.61,symmetric,0.4632982602675165
100% Corpus,29,0.9099999999999999,0.01,0.4696253340893991
100% Corpus,29,0.9099999999999999,0.31,0.4512836749820652
100% Corpus,29,0.9099999999999999,0.61,0.48128285711183805
100% Corpus,29,0.9099999999999999,0.9099999999999999,0.5090872713892939
100% Corpus,29,0.9099999999999999,symmetric,0.4648020606481338
100% Corpus,29,symmetric,0.01,0.4653811894615941
100% Corpus,29,symmetric,0.31,0.4714913652690177
100% Corpus,29,symmetric,0.61,0.4802390647822051
100% Corpus,29,symmetric,0.9099999999999999,0.48353047012406536
100% Corpus,29,symmetric,symmetric,0.46248606629056344
100% Corpus,29,asymmetric,0.01,0.5004323137574835
100% Corpus,29,asymmetric,0.31,0.47498977595768876
100% Corpus,29,asymmetric,0.61,0.49183382770341816
100% Corpus,29,asymmetric,0.9099999999999999,0.5025307008630817
100% Corpus,29,asymmetric,symmetric,0.47414701580906427
100% Corpus,30,0.01,0.01,0.46322922890137946
100% Corpus,30,0.01,0.31,0.46940695942793803
100% Corpus,30,0.01,0.61,0.47644164498865055
100% Corpus,30,0.01,0.9099999999999999,0.4877048476755327
100% Corpus,30,0.01,symmetric,0.459776139437848
100% Corpus,30,0.31,0.01,0.47064935287880755
100% Corpus,30,0.31,0.31,0.4676736438965373
100% Corpus,30,0.31,0.61,0.48415235422174013
100% Corpus,30,0.31,0.9099999999999999,0.4844360031187122
100% Corpus,30,0.31,symmetric,0.46749599735652775
100% Corpus,30,0.61,0.01,0.4683529934953885
100% Corpus,30,0.61,0.31,0.4692936554201215
100% Corpus,30,0.61,0.61,0.48291873785332634
100% Corpus,30,0.61,0.9099999999999999,0.5037109762032272
100% Corpus,30,0.61,symmetric,0.4632982602675165
100% Corpus,30,0.9099999999999999,0.01,0.4696253340893991
100% Corpus,30,0.9099999999999999,0.31,0.4512836749820652
100% Corpus,30,0.9099999999999999,0.61,0.48128285711183805
100% Corpus,30,0.9099999999999999,0.9099999999999999,0.5090872713892939
100% Corpus,30,0.9099999999999999,symmetric,0.4648020606481338
100% Corpus,30,symmetric,0.01,0.4653811894615941
100% Corpus,30,symmetric,0.31,0.4714913652690177
100% Corpus,30,symmetric,0.61,0.4802390647822051
100% Corpus,30,symmetric,0.9099999999999999,0.48353047012406536
100% Corpus,30,symmetric,symmetric,0.46248606629056344
100% Corpus,30,asymmetric,0.01,0.5004323137574835
100% Corpus,30,asymmetric,0.31,0.47498977595768876
100% Corpus,30,asymmetric,0.61,0.49183382770341816
100% Corpus,30,asymmetric,0.9099999999999999,0.5025307008630817
100% Corpus,30,asymmetric,symmetric,0.47414701580906427
100% Corpus,31,0.01,0.01,0.46322922890137946
100% Corpus,31,0.01,0.31,0.46940695942793803
100% Corpus,31,0.01,0.61,0.47644164498865055
100% Corpus,31,0.01,0.9099999999999999,0.4877048476755327
100% Corpus,31,0.01,symmetric,0.459776139437848
100% Corpus,31,0.31,0.01,0.47064935287880755
100% Corpus,31,0.31,0.31,0.4676736438965373
100% Corpus,31,0.31,0.61,0.48415235422174013
100% Corpus,31,0.31,0.9099999999999999,0.4844360031187122
100% Corpus,31,0.31,symmetric,0.46749599735652775
100% Corpus,31,0.61,0.01,0.4683529934953885
100% Corpus,31,0.61,0.31,0.4692936554201215
100% Corpus,31,0.61,0.61,0.48291873785332634
100% Corpus,31,0.61,0.9099999999999999,0.5037109762032272
100% Corpus,31,0.61,symmetric,0.4632982602675165
100% Corpus,31,0.9099999999999999,0.01,0.4696253340893991
100% Corpus,31,0.9099999999999999,0.31,0.4512836749820652
100% Corpus,31,0.9099999999999999,0.61,0.48128285711183805
100% Corpus,31,0.9099999999999999,0.9099999999999999,0.5090872713892939
100% Corpus,31,0.9099999999999999,symmetric,0.4648020606481338
100% Corpus,31,symmetric,0.01,0.4653811894615941
100% Corpus,31,symmetric,0.31,0.4714913652690177
100% Corpus,31,symmetric,0.61,0.4802390647822051
100% Corpus,31,symmetric,0.9099999999999999,0.48353047012406536
100% Corpus,31,symmetric,symmetric,0.46248606629056344
100% Corpus,31,asymmetric,0.01,0.5004323137574835
100% Corpus,31,asymmetric,0.31,0.47498977595768876
100% Corpus,31,asymmetric,0.61,0.49183382770341816
100% Corpus,31,asymmetric,0.9099999999999999,0.5025307008630817
100% Corpus,31,asymmetric,symmetric,0.47414701580906427
100% Corpus,32,0.01,0.01,0.46322922890137946
100% Corpus,32,0.01,0.31,0.46940695942793803
100% Corpus,32,0.01,0.61,0.47644164498865055
100% Corpus,32,0.01,0.9099999999999999,0.4877048476755327
100% Corpus,32,0.01,symmetric,0.459776139437848
100% Corpus,32,0.31,0.01,0.47064935287880755
100% Corpus,32,0.31,0.31,0.4676736438965373
100% Corpus,32,0.31,0.61,0.48415235422174013
100% Corpus,32,0.31,0.9099999999999999,0.4844360031187122
100% Corpus,32,0.31,symmetric,0.46749599735652775
100% Corpus,32,0.61,0.01,0.4683529934953885
100% Corpus,32,0.61,0.31,0.4692936554201215
100% Corpus,32,0.61,0.61,0.48291873785332634
100% Corpus,32,0.61,0.9099999999999999,0.5037109762032272
100% Corpus,32,0.61,symmetric,0.4632982602675165
100% Corpus,32,0.9099999999999999,0.01,0.4696253340893991
100% Corpus,32,0.9099999999999999,0.31,0.4512836749820652
100% Corpus,32,0.9099999999999999,0.61,0.48128285711183805
100% Corpus,32,0.9099999999999999,0.9099999999999999,0.5090872713892939
100% Corpus,32,0.9099999999999999,symmetric,0.4648020606481338
100% Corpus,32,symmetric,0.01,0.4653811894615941
100% Corpus,32,symmetric,0.31,0.4714913652690177
100% Corpus,32,symmetric,0.61,0.4802390647822051
100% Corpus,32,symmetric,0.9099999999999999,0.48353047012406536
100% Corpus,32,symmetric,symmetric,0.46248606629056344
100% Corpus,32,asymmetric,0.01,0.5004323137574835
100% Corpus,32,asymmetric,0.31,0.47498977595768876
100% Corpus,32,asymmetric,0.61,0.49183382770341816
100% Corpus,32,asymmetric,0.9099999999999999,0.5025307008630817
100% Corpus,32,asymmetric,symmetric,0.47414701580906427
100% Corpus,33,0.01,0.01,0.46322922890137946
100% Corpus,33,0.01,0.31,0.46940695942793803
100% Corpus,33,0.01,0.61,0.47644164498865055
100% Corpus,33,0.01,0.9099999999999999,0.4877048476755327
100% Corpus,33,0.01,symmetric,0.459776139437848
100% Corpus,33,0.31,0.01,0.47064935287880755
100% Corpus,33,0.31,0.31,0.4676736438965373
100% Corpus,33,0.31,0.61,0.48415235422174013
100% Corpus,33,0.31,0.9099999999999999,0.4844360031187122
100% Corpus,33,0.31,symmetric,0.46749599735652775
100% Corpus,33,0.61,0.01,0.4683529934953885
100% Corpus,33,0.61,0.31,0.4692936554201215
100% Corpus,33,0.61,0.61,0.48291873785332634
100% Corpus,33,0.61,0.9099999999999999,0.5037109762032272
100% Corpus,33,0.61,symmetric,0.4632982602675165
100% Corpus,33,0.9099999999999999,0.01,0.4696253340893991
100% Corpus,33,0.9099999999999999,0.31,0.4512836749820652
100% Corpus,33,0.9099999999999999,0.61,0.48128285711183805
100% Corpus,33,0.9099999999999999,0.9099999999999999,0.5090872713892939
100% Corpus,33,0.9099999999999999,symmetric,0.4648020606481338
100% Corpus,33,symmetric,0.01,0.4653811894615941
100% Corpus,33,symmetric,0.31,0.4714913652690177
100% Corpus,33,symmetric,0.61,0.4802390647822051
100% Corpus,33,symmetric,0.9099999999999999,0.48353047012406536
100% Corpus,33,symmetric,symmetric,0.46248606629056344
100% Corpus,33,asymmetric,0.01,0.5004323137574835
100% Corpus,33,asymmetric,0.31,0.47498977595768876
100% Corpus,33,asymmetric,0.61,0.49183382770341816
100% Corpus,33,asymmetric,0.9099999999999999,0.5025307008630817
100% Corpus,33,asymmetric,symmetric,0.47414701580906427
100% Corpus,34,0.01,0.01,0.46322922890137946
100% Corpus,34,0.01,0.31,0.46940695942793803
100% Corpus,34,0.01,0.61,0.47644164498865055
100% Corpus,34,0.01,0.9099999999999999,0.4877048476755327
100% Corpus,34,0.01,symmetric,0.459776139437848
100% Corpus,34,0.31,0.01,0.47064935287880755
100% Corpus,34,0.31,0.31,0.4676736438965373
100% Corpus,34,0.31,0.61,0.48415235422174013
100% Corpus,34,0.31,0.9099999999999999,0.4844360031187122
100% Corpus,34,0.31,symmetric,0.46749599735652775
100% Corpus,34,0.61,0.01,0.4683529934953885
100% Corpus,34,0.61,0.31,0.4692936554201215
100% Corpus,34,0.61,0.61,0.48291873785332634
100% Corpus,34,0.61,0.9099999999999999,0.5037109762032272
100% Corpus,34,0.61,symmetric,0.4632982602675165
100% Corpus,34,0.9099999999999999,0.01,0.4696253340893991
100% Corpus,34,0.9099999999999999,0.31,0.4512836749820652
100% Corpus,34,0.9099999999999999,0.61,0.48128285711183805
100% Corpus,34,0.9099999999999999,0.9099999999999999,0.5090872713892939
100% Corpus,34,0.9099999999999999,symmetric,0.4648020606481338
100% Corpus,34,symmetric,0.01,0.4653811894615941
100% Corpus,34,symmetric,0.31,0.4714913652690177
100% Corpus,34,symmetric,0.61,0.4802390647822051
100% Corpus,34,symmetric,0.9099999999999999,0.48353047012406536
100% Corpus,34,symmetric,symmetric,0.46248606629056344
100% Corpus,34,asymmetric,0.01,0.5004323137574835
100% Corpus,34,asymmetric,0.31,0.47498977595768876
100% Corpus,34,asymmetric,0.61,0.49183382770341816
100% Corpus,34,asymmetric,0.9099999999999999,0.5025307008630817
100% Corpus,34,asymmetric,symmetric,0.47414701580906427
100% Corpus,35,0.01,0.01,0.46322922890137946
100% Corpus,35,0.01,0.31,0.46940695942793803
100% Corpus,35,0.01,0.61,0.47644164498865055
100% Corpus,35,0.01,0.9099999999999999,0.4877048476755327
100% Corpus,35,0.01,symmetric,0.459776139437848
100% Corpus,35,0.31,0.01,0.47064935287880755
100% Corpus,35,0.31,0.31,0.4676736438965373
100% Corpus,35,0.31,0.61,0.48415235422174013
100% Corpus,35,0.31,0.9099999999999999,0.4844360031187122
100% Corpus,35,0.31,symmetric,0.46749599735652775
100% Corpus,35,0.61,0.01,0.4683529934953885
100% Corpus,35,0.61,0.31,0.4692936554201215
100% Corpus,35,0.61,0.61,0.48291873785332634
100% Corpus,35,0.61,0.9099999999999999,0.5037109762032272
100% Corpus,35,0.61,symmetric,0.4632982602675165
100% Corpus,35,0.9099999999999999,0.01,0.4696253340893991
100% Corpus,35,0.9099999999999999,0.31,0.4512836749820652
100% Corpus,35,0.9099999999999999,0.61,0.48128285711183805
100% Corpus,35,0.9099999999999999,0.9099999999999999,0.5090872713892939
100% Corpus,35,0.9099999999999999,symmetric,0.4648020606481338
100% Corpus,35,symmetric,0.01,0.4653811894615941
100% Corpus,35,symmetric,0.31,0.4714913652690177
100% Corpus,35,symmetric,0.61,0.4802390647822051
100% Corpus,35,symmetric,0.9099999999999999,0.48353047012406536
100% Corpus,35,symmetric,symmetric,0.46248606629056344
100% Corpus,35,asymmetric,0.01,0.5004323137574835
100% Corpus,35,asymmetric,0.31,0.47498977595768876
100% Corpus,35,asymmetric,0.61,0.49183382770341816
100% Corpus,35,asymmetric,0.9099999999999999,0.5025307008630817
100% Corpus,35,asymmetric,symmetric,0.47414701580906427
100% Corpus,36,0.01,0.01,0.46322922890137946
100% Corpus,36,0.01,0.31,0.46940695942793803
100% Corpus,36,0.01,0.61,0.47644164498865055
100% Corpus,36,0.01,0.9099999999999999,0.4877048476755327
100% Corpus,36,0.01,symmetric,0.459776139437848
100% Corpus,36,0.31,0.01,0.47064935287880755
100% Corpus,36,0.31,0.31,0.4676736438965373
100% Corpus,36,0.31,0.61,0.48415235422174013
100% Corpus,36,0.31,0.9099999999999999,0.4844360031187122
100% Corpus,36,0.31,symmetric,0.46749599735652775
100% Corpus,36,0.61,0.01,0.4683529934953885
100% Corpus,36,0.61,0.31,0.4692936554201215
100% Corpus,36,0.61,0.61,0.48291873785332634
100% Corpus,36,0.61,0.9099999999999999,0.5037109762032272
100% Corpus,36,0.61,symmetric,0.4632982602675165
100% Corpus,36,0.9099999999999999,0.01,0.4696253340893991
100% Corpus,36,0.9099999999999999,0.31,0.4512836749820652
100% Corpus,36,0.9099999999999999,0.61,0.48128285711183805
100% Corpus,36,0.9099999999999999,0.9099999999999999,0.5090872713892939
100% Corpus,36,0.9099999999999999,symmetric,0.4648020606481338
100% Corpus,36,symmetric,0.01,0.4653811894615941
100% Corpus,36,symmetric,0.31,0.4714913652690177
100% Corpus,36,symmetric,0.61,0.4802390647822051
100% Corpus,36,symmetric,0.9099999999999999,0.48353047012406536
100% Corpus,36,symmetric,symmetric,0.46248606629056344
100% Corpus,36,asymmetric,0.01,0.5004323137574835
100% Corpus,36,asymmetric,0.31,0.47498977595768876
100% Corpus,36,asymmetric,0.61,0.49183382770341816
100% Corpus,36,asymmetric,0.9099999999999999,0.5025307008630817
100% Corpus,36,asymmetric,symmetric,0.47414701580906427
100% Corpus,37,0.01,0.01,0.46322922890137946
100% Corpus,37,0.01,0.31,0.46940695942793803
100% Corpus,37,0.01,0.61,0.47644164498865055
100% Corpus,37,0.01,0.9099999999999999,0.4877048476755327
100% Corpus,37,0.01,symmetric,0.459776139437848
100% Corpus,37,0.31,0.01,0.47064935287880755
100% Corpus,37,0.31,0.31,0.4676736438965373
100% Corpus,37,0.31,0.61,0.48415235422174013
100% Corpus,37,0.31,0.9099999999999999,0.4844360031187122
100% Corpus,37,0.31,symmetric,0.46749599735652775
100% Corpus,37,0.61,0.01,0.4683529934953885
100% Corpus,37,0.61,0.31,0.4692936554201215
100% Corpus,37,0.61,0.61,0.48291873785332634
100% Corpus,37,0.61,0.9099999999999999,0.5037109762032272
100% Corpus,37,0.61,symmetric,0.4632982602675165
100% Corpus,37,0.9099999999999999,0.01,0.4696253340893991
100% Corpus,37,0.9099999999999999,0.31,0.4512836749820652
100% Corpus,37,0.9099999999999999,0.61,0.48128285711183805
100% Corpus,37,0.9099999999999999,0.9099999999999999,0.5090872713892939
100% Corpus,37,0.9099999999999999,symmetric,0.4648020606481338
100% Corpus,37,symmetric,0.01,0.4653811894615941
100% Corpus,37,symmetric,0.31,0.4714913652690177
100% Corpus,37,symmetric,0.61,0.4802390647822051
100% Corpus,37,symmetric,0.9099999999999999,0.48353047012406536
100% Corpus,37,symmetric,symmetric,0.46248606629056344
100% Corpus,37,asymmetric,0.01,0.5004323137574835
100% Corpus,37,asymmetric,0.31,0.47498977595768876
100% Corpus,37,asymmetric,0.61,0.49183382770341816
100% Corpus,37,asymmetric,0.9099999999999999,0.5025307008630817
100% Corpus,37,asymmetric,symmetric,0.47414701580906427
100% Corpus,38,0.01,0.01,0.46322922890137946
100% Corpus,38,0.01,0.31,0.46940695942793803
100% Corpus,38,0.01,0.61,0.47644164498865055
100% Corpus,38,0.01,0.9099999999999999,0.4877048476755327
100% Corpus,38,0.01,symmetric,0.459776139437848
100% Corpus,38,0.31,0.01,0.47064935287880755
100% Corpus,38,0.31,0.31,0.4676736438965373
100% Corpus,38,0.31,0.61,0.48415235422174013
100% Corpus,38,0.31,0.9099999999999999,0.4844360031187122
100% Corpus,38,0.31,symmetric,0.46749599735652775
100% Corpus,38,0.61,0.01,0.4683529934953885
100% Corpus,38,0.61,0.31,0.4692936554201215
100% Corpus,38,0.61,0.61,0.48291873785332634
100% Corpus,38,0.61,0.9099999999999999,0.5037109762032272
100% Corpus,38,0.61,symmetric,0.4632982602675165
100% Corpus,38,0.9099999999999999,0.01,0.4696253340893991
100% Corpus,38,0.9099999999999999,0.31,0.4512836749820652
100% Corpus,38,0.9099999999999999,0.61,0.48128285711183805
100% Corpus,38,0.9099999999999999,0.9099999999999999,0.5090872713892939
100% Corpus,38,0.9099999999999999,symmetric,0.4648020606481338
100% Corpus,38,symmetric,0.01,0.4653811894615941
100% Corpus,38,symmetric,0.31,0.4714913652690177
100% Corpus,38,symmetric,0.61,0.4802390647822051
100% Corpus,38,symmetric,0.9099999999999999,0.48353047012406536
100% Corpus,38,symmetric,symmetric,0.46248606629056344
100% Corpus,38,asymmetric,0.01,0.5004323137574835
100% Corpus,38,asymmetric,0.31,0.47498977595768876
100% Corpus,38,asymmetric,0.61,0.49183382770341816
100% Corpus,38,asymmetric,0.9099999999999999,0.5025307008630817
100% Corpus,38,asymmetric,symmetric,0.47414701580906427
100% Corpus,39,0.01,0.01,0.46322922890137946
100% Corpus,39,0.01,0.31,0.46940695942793803
100% Corpus,39,0.01,0.61,0.47644164498865055
100% Corpus,39,0.01,0.9099999999999999,0.4877048476755327
100% Corpus,39,0.01,symmetric,0.459776139437848
100% Corpus,39,0.31,0.01,0.47064935287880755
100% Corpus,39,0.31,0.31,0.4676736438965373
100% Corpus,39,0.31,0.61,0.48415235422174013
100% Corpus,39,0.31,0.9099999999999999,0.4844360031187122
100% Corpus,39,0.31,symmetric,0.46749599735652775
100% Corpus,39,0.61,0.01,0.4683529934953885
100% Corpus,39,0.61,0.31,0.4692936554201215
100% Corpus,39,0.61,0.61,0.48291873785332634
100% Corpus,39,0.61,0.9099999999999999,0.5037109762032272
100% Corpus,39,0.61,symmetric,0.4632982602675165
100% Corpus,39,0.9099999999999999,0.01,0.4696253340893991
100% Corpus,39,0.9099999999999999,0.31,0.4512836749820652
100% Corpus,39,0.9099999999999999,0.61,0.48128285711183805
100% Corpus,39,0.9099999999999999,0.9099999999999999,0.5090872713892939
100% Corpus,39,0.9099999999999999,symmetric,0.4648020606481338
100% Corpus,39,symmetric,0.01,0.4653811894615941
100% Corpus,39,symmetric,0.31,0.4714913652690177
100% Corpus,39,symmetric,0.61,0.4802390647822051
100% Corpus,39,symmetric,0.9099999999999999,0.48353047012406536
100% Corpus,39,symmetric,symmetric,0.46248606629056344
100% Corpus,39,asymmetric,0.01,0.5004323137574835
100% Corpus,39,asymmetric,0.31,0.47498977595768876
100% Corpus,39,asymmetric,0.61,0.49183382770341816
100% Corpus,39,asymmetric,0.9099999999999999,0.5025307008630817
100% Corpus,39,asymmetric,symmetric,0.47414701580906427
